description,name,geometry
,00310,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.912357,60.205092,0.0 24.909954,60.207288,0.0 24.904075,60.207971,0.0 24.899268,60.207779,0.0 24.898946,60.207821,0.0 24.900019,60.210817,0.0 24.902937,60.213173,0.0 24.905384,60.214719,0.0 24.910405,60.213045,0.0 24.913001,60.211681,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00320,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.914117,60.214239,0.0 24.913001,60.211681,0.0 24.910405,60.213045,0.0 24.905384,60.214719,0.0 24.902937,60.213173,0.0 24.900019,60.210817,0.0 24.898946,60.207821,0.0 24.889998,60.209015,0.0 24.888711,60.209911,0.0 24.885664,60.213312,0.0 24.885492,60.213919,0.0 24.884398,60.214335,0.0 24.87957,60.222211,0.0 24.878926,60.223362,0.0 24.887252,60.223937,0.0 24.898496,60.221891,0.0 24.907036,60.220623,0.0 24.914804,60.220165,0.0 24.916112,60.219195,0.0 24.916348,60.217905,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00330,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.889398,60.201818,0.0 24.881651,60.202863,0.0 24.878283,60.202917,0.0 24.872768,60.203023,0.0 24.865279,60.202405,0.0 24.859293,60.202927,0.0 24.851289,60.204474,0.0 24.849272,60.201019,0.0 24.856482,60.197734,0.0 24.86352,60.195388,0.0 24.868026,60.192529,0.0 24.871631,60.189969,0.0 24.87103,60.187879,0.0 24.873562,60.187004,0.0 24.876051,60.187238,0.0 24.878712,60.188348,0.0 24.880815,60.191143,0.0 24.883347,60.192551,0.0 24.887896,60.195857,0.0 24.891586,60.197564,0.0 24.891157,60.199504,0.0 24.8912,60.201637,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00340,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.87103,60.187879,0.0 24.871631,60.189969,0.0 24.86661,60.190353,0.0 24.859571,60.187751,0.0 24.850044,60.184507,0.0 24.846439,60.183355,0.0 24.842663,60.181477,0.0 24.841375,60.179557,0.0 24.844723,60.177849,0.0 24.847813,60.174904,0.0 24.852705,60.172599,0.0 24.855409,60.170464,0.0 24.860086,60.171233,0.0 24.86412,60.171745,0.0 24.86412,60.174947,0.0 24.859657,60.176654,0.0 24.862747,60.18088,0.0 24.870644,60.184763,0.0 24.873562,60.187004,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00350,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.884398,60.214335,0.0 24.8809,60.213749,0.0 24.871545,60.210742,0.0 24.860044,60.211126,0.0 24.85661,60.213152,0.0 24.846096,60.213152,0.0 24.846396,60.209421,0.0 24.848971,60.209101,0.0 24.851289,60.204474,0.0 24.859293,60.202927,0.0 24.865279,60.202405,0.0 24.872768,60.203023,0.0 24.878283,60.202917,0.0 24.881651,60.202863,0.0 24.889398,60.201818,0.0 24.884055,60.207171,0.0 24.88502,60.208099,0.0 24.886694,60.208322,0.0 24.88884,60.208472,0.0 24.889998,60.209015,0.0 24.888711,60.209911,0.0 24.885664,60.213312,0.0 24.885492,60.213919,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00360,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.85661,60.213152,0.0 24.860001,60.213493,0.0 24.863412,60.215667,0.0 24.865794,60.218726,0.0 24.861696,60.220271,0.0 24.849336,60.219739,0.0 24.848371,60.219099,0.0 24.847641,60.218172,0.0 24.845774,60.214527,0.0 24.846096,60.213152,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00370,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.847641,60.218172,0.0 24.84674,60.21652,0.0 24.836097,60.2175,0.0 24.833522,60.219312,0.0 24.832835,60.220495,0.0 24.835925,60.221582,0.0 24.837813,60.222989,0.0 24.833436,60.225429,0.0 24.833887,60.226846,0.0 24.836504,60.227603,0.0 24.836419,60.229276,0.0 24.844894,60.229862,0.0 24.850152,60.230746,0.0 24.853628,60.231747,0.0 24.857404,60.230235,0.0 24.861052,60.230235,0.0 24.864829,60.230394,0.0 24.867747,60.230522,0.0 24.87309,60.22739,0.0 24.877167,60.225024,0.0 24.878926,60.223362,0.0 24.87957,60.222211,0.0 24.873176,60.222062,0.0 24.86279,60.222978,0.0 24.86161,60.220932,0.0 24.861696,60.220271,0.0 24.849336,60.219739,0.0 24.848371,60.219099,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00380,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.884398,60.214335,0.0 24.8809,60.213749,0.0 24.871545,60.210742,0.0 24.860044,60.211126,0.0 24.85661,60.213152,0.0 24.860001,60.213493,0.0 24.863412,60.215667,0.0 24.865794,60.218726,0.0 24.861696,60.220271,0.0 24.86161,60.220932,0.0 24.86279,60.222978,0.0 24.873176,60.222062,0.0 24.87957,60.222211,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00390,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.836955,60.259627,0.0 24.845152,60.257221,0.0 24.847877,60.2493,0.0 24.847598,60.247522,0.0 24.8488,60.245839,0.0 24.849958,60.245008,0.0 24.86146,60.23832,0.0 24.863563,60.235955,0.0 24.859228,60.235252,0.0 24.861331,60.234123,0.0 24.867747,60.230522,0.0 24.864829,60.230394,0.0 24.861052,60.230235,0.0 24.857404,60.230235,0.0 24.853628,60.231747,0.0 24.850152,60.230746,0.0 24.844894,60.229862,0.0 24.836419,60.229276,0.0 24.836719,60.229894,0.0 24.837942,60.229808,0.0 24.83717,60.23228,0.0 24.835947,60.236435,0.0 24.836569,60.237628,0.0 24.833221,60.248288,0.0 24.831483,60.253867,0.0 24.832556,60.254591,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00400,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.914804,60.220165,0.0 24.900513,60.235316,0.0 24.891629,60.234933,0.0 24.896049,60.234464,0.0 24.897165,60.233867,0.0 24.888325,60.232142,0.0 24.887424,60.231119,0.0 24.887466,60.228626,0.0 24.88575,60.226687,0.0 24.887252,60.223937,0.0 24.898496,60.221891,0.0 24.907036,60.220623,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00410,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.86146,60.23832,0.0 24.878969,60.248416,0.0 24.874592,60.250418,0.0 24.867811,60.251908,0.0 24.863348,60.25408,0.0 24.859314,60.254038,0.0 24.857597,60.253229,0.0 24.845152,60.257221,0.0 24.847877,60.2493,0.0 24.847598,60.247522,0.0 24.8488,60.245839,0.0 24.849958,60.245008,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00420,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.900513,60.235316,0.0 24.891629,60.234933,0.0 24.861331,60.234123,0.0 24.859228,60.235252,0.0 24.863563,60.235955,0.0 24.86146,60.23832,0.0 24.878969,60.248416,0.0 24.874592,60.250418,0.0 24.867811,60.251908,0.0 24.869056,60.253654,0.0 24.872253,60.254623,0.0 24.873562,60.256689,0.0 24.877038,60.259371,0.0 24.87766,60.260468,0.0 24.88148,60.255518,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00430,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.87766,60.260468,0.0 24.88502,60.263533,0.0 24.890814,60.266236,0.0 24.89356,60.268428,0.0 24.898753,60.26879,0.0 24.908023,60.252462,0.0 24.910984,60.247074,0.0 24.909568,60.243432,0.0 24.912443,60.238554,0.0 24.900513,60.235316,0.0 24.88148,60.255518,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00440,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.861331,60.234123,0.0 24.867747,60.230522,0.0 24.87309,60.22739,0.0 24.877167,60.225024,0.0 24.878926,60.223362,0.0 24.887252,60.223937,0.0 24.88575,60.226687,0.0 24.887466,60.228626,0.0 24.887424,60.231119,0.0 24.888325,60.232142,0.0 24.897165,60.233867,0.0 24.896049,60.234464,0.0 24.891629,60.234933,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00500,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.953384,60.186972,0.0 24.952569,60.190961,0.0 24.953985,60.191409,0.0 24.959779,60.189745,0.0 24.96171,60.190503,0.0 24.962611,60.190695,0.0 24.964371,60.189415,0.0 24.969585,60.188604,0.0 24.970057,60.187836,0.0 24.968061,60.186193,0.0 24.963984,60.183536,0.0 24.958749,60.185131,0.0 24.956925,60.184379,0.0 24.95538,60.184395,0.0 24.954929,60.184715,0.0 24.953663,60.185062,0.0 24.953578,60.18598,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00510,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.938107,60.191921,0.0 24.933643,60.191452,0.0 24.93639,60.185617,0.0 24.939759,60.185916,0.0 24.943879,60.186332,0.0 24.949501,60.186374,0.0 24.950724,60.186534,0.0 24.951453,60.186961,0.0 24.953384,60.186972,0.0 24.952569,60.190961,0.0 24.953985,60.191409,0.0 24.959779,60.189745,0.0 24.96171,60.190503,0.0 24.962611,60.190695,0.0 24.960616,60.192636,0.0 24.957032,60.194481,0.0 24.948556,60.198353,0.0 24.948342,60.19671,0.0 24.946818,60.196444,0.0 24.943728,60.196294,0.0 24.943643,60.195708,0.0 24.946282,60.194663,0.0 24.943514,60.193105,0.0 24.942162,60.193649,0.0 24.940424,60.192775,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00520,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.931669,60.206243,0.0 24.934931,60.206052,0.0 24.941905,60.204068,0.0 24.945037,60.203055,0.0 24.946604,60.202778,0.0 24.949114,60.20281,0.0 24.950252,60.202959,0.0 24.953213,60.203812,0.0 24.954071,60.203546,0.0 24.955959,60.203141,0.0 24.95523,60.202202,0.0 24.953899,60.201413,0.0 24.951904,60.200187,0.0 24.94596,60.199723,0.0 24.948556,60.198353,0.0 24.948342,60.19671,0.0 24.946818,60.196444,0.0 24.943728,60.196294,0.0 24.943643,60.195708,0.0 24.946282,60.194663,0.0 24.943514,60.193105,0.0 24.942162,60.193649,0.0 24.940424,60.192775,0.0 24.938107,60.191921,0.0 24.933643,60.191452,0.0 24.932914,60.192913,0.0 24.933815,60.198225,0.0 24.931369,60.203173,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00530,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.93257,60.178063,0.0 24.94154,60.178383,0.0 24.945982,60.176857,0.0 24.949501,60.176345,0.0 24.951797,60.176526,0.0 24.953728,60.177241,0.0 24.965615,60.177209,0.0 24.963942,60.181285,0.0 24.965658,60.183014,0.0 24.958749,60.185131,0.0 24.956925,60.184379,0.0 24.95538,60.184395,0.0 24.954929,60.184715,0.0 24.953663,60.185062,0.0 24.953578,60.18598,0.0 24.953384,60.186972,0.0 24.951453,60.186961,0.0 24.950724,60.186534,0.0 24.949501,60.186374,0.0 24.943879,60.186332,0.0 24.939759,60.185916,0.0 24.93639,60.185617,0.0 24.931626,60.18487,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00540,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.969585,60.188604,0.0 24.978876,60.187046,0.0 24.984369,60.1863,0.0 24.986858,60.186044,0.0 24.984198,60.182416,0.0 24.979734,60.18041,0.0 24.976902,60.173452,0.0 24.965615,60.177209,0.0 24.963942,60.181285,0.0 24.965658,60.183014,0.0 24.963984,60.183536,0.0 24.968061,60.186193,0.0 24.970057,60.187836,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00550,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.94596,60.199723,0.0 24.948556,60.198353,0.0 24.957032,60.194481,0.0 24.960616,60.192636,0.0 24.962611,60.190695,0.0 24.964371,60.189415,0.0 24.964414,60.190844,0.0 24.964628,60.192679,0.0 24.967375,60.193511,0.0 24.971001,60.196881,0.0 24.976022,60.19719,0.0 24.970465,60.198235,0.0 24.9704,60.198961,0.0 24.967139,60.20055,0.0 24.963641,60.201296,0.0 24.967182,60.204708,0.0 24.965529,60.204921,0.0 24.96171,60.201029,0.0 24.959843,60.201179,0.0 24.956989,60.201243,0.0 24.953899,60.201413,0.0 24.951904,60.200187,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00560,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.977331,60.219014,0.0 24.979134,60.220005,0.0 24.980807,60.220826,0.0 24.981451,60.221529,0.0 24.993038,60.224374,0.0 24.999754,60.227102,0.0 25.003424,60.227997,0.0 25.009046,60.219994,0.0 25.016298,60.213706,0.0 25.010848,60.208312,0.0 25.004282,60.202512,0.0 24.996729,60.195942,0.0 24.9704,60.198961,0.0 24.967139,60.20055,0.0 24.963641,60.201296,0.0 24.967182,60.204708,0.0 24.965529,60.204921,0.0 24.96171,60.201029,0.0 24.959843,60.201179,0.0 24.956989,60.201243,0.0 24.953899,60.201413,0.0 24.95523,60.202202,0.0 24.955959,60.203141,0.0 24.954071,60.203546,0.0 24.953213,60.203812,0.0 24.952869,60.205369,0.0 24.957998,60.207597,0.0 24.956625,60.208546,0.0 24.960401,60.210188,0.0 24.958856,60.212512,0.0 24.963105,60.213866,0.0 24.96495,60.214431,0.0 24.9698,60.212491,0.0 24.973748,60.217181,0.0 24.9754,60.217884,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00570,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.996729,60.195942,0.0 24.986858,60.186044,0.0 24.984198,60.182416,0.0 24.979734,60.18041,0.0 24.976902,60.173452,0.0 24.982567,60.171233,0.0 24.984798,60.169269,0.0 24.993038,60.171531,0.0 24.998789,60.173239,0.0 25.004797,60.176526,0.0 25.012951,60.178148,0.0 25.019131,60.178575,0.0 25.021963,60.188177,0.0 25.015612,60.190695,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00580,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.986858,60.186044,0.0 24.984369,60.1863,0.0 24.978876,60.187046,0.0 24.969585,60.188604,0.0 24.964371,60.189415,0.0 24.964414,60.190844,0.0 24.964628,60.192679,0.0 24.967375,60.193511,0.0 24.971001,60.196881,0.0 24.976022,60.19719,0.0 24.970465,60.198235,0.0 24.9704,60.198961,0.0 24.996729,60.195942,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00590,"<Polygon><outerBoundaryIs><LinearRing><coordinates>25.024366,60.145607,0.0 25.009003,60.148469,0.0 25.001535,60.158721,0.0 24.996128,60.168671,0.0 24.993038,60.171531,0.0 24.998789,60.173239,0.0 25.004797,60.176526,0.0 25.012951,60.178148,0.0 25.019131,60.178575,0.0 25.021963,60.188177,0.0 25.023551,60.185019,0.0 25.028658,60.18327,0.0 25.035825,60.184401,0.0 25.040846,60.182502,0.0 25.039043,60.179855,0.0 25.037756,60.178319,0.0 25.034966,60.176868,0.0 25.036125,60.1758,0.0 25.037198,60.174296,0.0 25.035181,60.173154,0.0 25.028958,60.169461,0.0 25.035138,60.163867,0.0 25.036039,60.160686,0.0 25.042133,60.157013,0.0 25.038958,60.153297,0.0 25.032864,60.149495,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00600,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.948363,60.220954,0.0 24.956946,60.22381,0.0 24.961452,60.223064,0.0 24.966259,60.22366,0.0 24.972954,60.223724,0.0 24.973662,60.219366,0.0 24.973748,60.217181,0.0 24.962633,60.214996,0.0 24.955981,60.216381,0.0 24.952762,60.217202,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
